created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 12:32:40 +0000 2024;1785286144638509184;"ga di rumah ga di kosan ni kucing birahi berisik banget 😭";0;0;0;0;in;1727595442471673856;1785286144638509184;sempaxbapak;https://twitter.com/sempaxbapak/status/1785286144638509184
Tue Apr 30 12:32:38 +0000 2024;1785286136233111642;"@oruzyujinn Iya gapapaa kak";0;0;0;0;in;1775441666507505664;1785274902565830804;zb1kucing;https://twitter.com/zb1kucing/status/1785286136233111642
Tue Apr 30 12:32:37 +0000 2024;1785286132374347857;"@starfess liat deh lucu banget kucing aku https://t.co/pZRZiYGJsX";0;0;0;0;in;1368042077066465282;1784938679049621640;bullyangbee;https://twitter.com/bullyangbee/status/1785286132374347857
Tue Apr 30 12:32:14 +0000 2024;1785286034793857520;"@cottonmynj wkwkwk liat kucing lain kok kayak cepet banget gedenya, liat pudip lucuu kicil ga berubah” dari jaman sama papi gumuuusshhh";0;0;0;0;in;1235868323411136513;1785225873165352971;tahujinjit;https://twitter.com/tahujinjit/status/1785286034793857520
Tue Apr 30 12:31:59 +0000 2024;1785285972013494559;"@Craspenter siap siap aj dimasukin pondok sm mamah";0;0;0;0;in;1720643973046534144;1785273572422042043;khaiyans;https://twitter.com/khaiyans/status/1785285972013494559
Tue Apr 30 12:31:53 +0000 2024;1785285945950142943;"yang mana yang kucing";0;0;0;0;in;1480220809318727684;1785285945950142943;simjaera;https://twitter.com/simjaera/status/1785285945950142943
Tue Apr 30 12:31:51 +0000 2024;1785285936869507272;"@triomeow itu beli taa bonus kucing apa gmn";0;0;0;0;in;35948314;1785275736523489585;PasukanPawkemon;https://twitter.com/PasukanPawkemon/status/1785285936869507272
Tue Apr 30 12:31:42 +0000 2024;1785285901868036470;"siapa ava kucing";0;1;0;0;in;1465125012147343364;1785285901868036470;jimimpie;https://twitter.com/jimimpie/status/1785285901868036470
Tue Apr 30 12:31:38 +0000 2024;1785285883224310035;"Meet The Unique Peak Nose Cats (Temui Kucing Peak Nose Yang Unik) https://t.co/z7hCVyF3KQ";0;0;0;0;in;1773293216311463936;1785285883224310035;celineanimal;https://twitter.com/celineanimal/status/1785285883224310035
Tue Apr 30 12:31:36 +0000 2024;1785285876119212381;"@riakribo Betul kak, mungkin beberapa org blm tau kalau posisinya peron MRT Asean harus naik tangga 2x dulu, dan biasanya kucing-kucing ini pada gak berani naik ke atas.";0;0;0;0;in;1221816186582663168;1785279828343873719;Hanu_Honu;https://twitter.com/Hanu_Honu/status/1785285876119212381
